library,library-url,licence,,,,     licence-url,copyright
box-java-sdk-4.16.4.jar,https://github.com/box/box-java-sdk,Apache 2.0 License,https://github.com/box/box-java-sdk/blob/main/LICENSE,Box,Inc.,,
jose4j-0.9.6.jar,https://bitbucket.org/b_c/jose4j/wiki/Home,Apache 2.0 License,https://bitbucket.org/b_c/jose4j/src/master/LICENSE,Brian Campbell,,,
minimal-json-0.9.5.jar,https://github.com/ralfstx/minimal-json,MIT License,https://github.com/ralfstx/minimal-json/blob/master/LICENSE,EclipseSource GmbH,,,
